09-Jun-2016,,,,,,,,,,,
iShares Core S&P 500 ETF,,,,,,,,,,,
Inception Date,15-May-00,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,
Total Net Assets,"$73,983,668,859",,,,,,,,,,
Number of Securities,509,,,,,,,,,,
Shares Outstanding,"347,150,000",,,,,,,,,,
,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
PSX,PHILLIPS 66,Equity,0.21,81.13,"1,879,553.00","152,488,134.89","152,488,134.89",Energy,B78C4Y8,US7185461040,New York Stock Exchange Inc.
COF,CAPITAL ONE FINANCIAL CORP,Equity,0.20,70.87,"2,111,528.00","149,643,989.36","149,643,989.36",Financials,"2,654,461.00",US14040H1059,New York Stock Exchange Inc.
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Equity,0.20,60.99,"2,438,793.00","148,741,985.07","148,741,985.07",Information Technology,"2,257,019.00",US1924461023,NASDAQ
USD,USD CASH,Cash,0.20,100.00,"147,163,110.00","147,163,110.07","147,163,110.07",Cash and/or Derivatives,--,--,--
PSA,PUBLIC STORAGE REIT,Equity,0.20,245.43,"589,678.00","144,724,671.54","144,724,671.54",Financials,"2,852,533.00",US74460D1090,New York Stock Exchange Inc.
SYK,STRYKER CORP,Equity,0.20,115.33,"1,254,416.00","144,671,797.28","144,671,797.28",Health Care,"2,853,688.00",US8636671013,New York Stock Exchange Inc.
BDX,BECTON DICKINSON,Equity,0.20,170.23,"848,069.00","144,366,785.87","144,366,785.87",Health Care,"2,087,807.00",US0758871091,New York Stock Exchange Inc.
KR,KROGER,Equity,0.19,36.58,"3,902,590.00","142,756,742.20","142,756,742.20",Consumer Staples,"2,497,406.00",US5010441013,New York Stock Exchange Inc.
ITW,ILLINOIS TOOL INC,Equity,0.19,108.80,"1,310,808.00","142,615,910.40","142,615,910.40",Industrials,"2,457,552.00",US4523081093,New York Stock Exchange Inc.
BLKFDS,BLK CSH FND TREASURY SL AGENCY,Money Market,0.19,1.00,"140,069,358.00","140,069,357.53","140,069,357.53",Cash and/or Derivatives,--,US0669224778,--
SCHW,CHARLES SCHWAB CORP,Equity,0.19,29.09,"4,811,277.00","139,960,047.93","139,960,047.93",Financials,"2,779,397.00",US8085131055,New York Stock Exchange Inc.
ANTM,ANTHEM INC,Equity,0.19,133.75,"1,046,406.00","139,956,802.50","139,956,802.50",Health Care,BSPHGL4,US0367521038,New York Stock Exchange Inc.
MMC,MARSH & MCLENNAN INC,Equity,0.19,66.63,"2,086,894.00","139,049,747.22","139,049,747.22",Financials,"2,567,741.00",US5717481023,New York Stock Exchange Inc.
EMR,EMERSON ELECTRIC,Equity,0.19,53.59,"2,574,901.00","137,988,944.59","137,988,944.59",Industrials,"2,313,405.00",US2910111044,New York Stock Exchange Inc.
YUM,YUM BRANDS INC,Equity,0.19,83.73,"1,636,403.00","137,016,023.19","137,016,023.19",Consumer Discretionary,"2,098,876.00",US9884981013,New York Stock Exchange Inc.
TRV,TRAVELERS COMPANIES INC,Equity,0.18,114.22,"1,181,023.00","134,896,447.06","134,896,447.06",Financials,"2,769,503.00",US89417E1091,New York Stock Exchange Inc.
HPE,HEWLETT PACKARD ENTERPRISE,Equity,0.18,19.55,"6,872,728.00","134,361,832.40","134,361,832.40",Information Technology,BYVYWS0,US42824C1099,New York Stock Exchange Inc.
PRU,PRUDENTIAL FINANCIAL INC,Equity,0.18,75.15,"1,785,688.00","134,194,453.20","134,194,453.20",Financials,"2,819,118.00",US7443201022,New York Stock Exchange Inc.
KMI,KINDER MORGAN INC,Equity,0.18,18.08,"7,326,414.00","132,461,565.12","132,461,565.12",Energy,B3NQ4P8,US49456B1017,New York Stock Exchange Inc.
CI,CIGNA CORP,Equity,0.18,129.25,"1,024,019.00","132,354,455.75","132,354,455.75",Health Care,"2,196,479.00",US1255091092,New York Stock Exchange Inc.
DAL,DELTA AIR LINES INC,Equity,0.18,42.40,"3,116,989.00","132,160,333.60","132,160,333.60",Industrials,B1W9D46,US2473617023,New York Stock Exchange Inc.
AEP,AMERICAN ELECTRIC POWER INC,Equity,0.18,66.96,"1,966,061.00","131,647,444.56","131,647,444.56",Utilities,"2,026,242.00",US0255371017,New York Stock Exchange Inc.
FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Equity,0.18,29.32,"4,482,030.00","131,413,119.60","131,413,119.60",Consumer Discretionary,BBM4S68,US90130A1016,NASDAQ
YHOO,YAHOO! INC,Equity,0.18,37.35,"3,487,547.00","130,259,880.45","130,259,880.45",Information Technology,"2,986,539.00",US9843321061,NASDAQ
EXC,EXELON CORP,Equity,0.17,35.14,"3,683,157.00","129,426,136.98","129,426,136.98",Utilities,"2,670,519.00",US30161N1019,New York Stock Exchange Inc.
PX,PRAXAIR INC,Equity,0.17,113.44,"1,140,412.00","129,368,337.28","129,368,337.28",Materials,"2,699,291.00",US74005P1049,New York Stock Exchange Inc.
ECL,ECOLAB INC,Equity,0.17,120.79,"1,066,621.00","128,837,150.59","128,837,150.59",Materials,"2,304,227.00",US2788651006,New York Stock Exchange Inc.
CME,CME GROUP INC CLASS A,Equity,0.17,95.03,"1,354,928.00","128,758,807.84","128,758,807.84",Financials,"2,965,839.00",US12572Q1058,NASDAQ
CCI,CROWN CASTLE INTERNATIONAL REIT CO,Equity,0.17,94.42,"1,336,328.00","126,176,089.76","126,176,089.76",Financials,BTGQCX1,US22822V1017,New York Stock Exchange Inc.
BSX,BOSTON SCIENTIFIC CORP,Equity,0.17,23.32,"5,398,468.00","125,892,273.76","125,892,273.76",Health Care,"2,113,434.00",US1011371077,New York Stock Exchange Inc.
ICE,INTERCONTINENTAL EXCHANGE INC,Equity,0.17,262.52,"476,012.00","124,962,670.24","124,962,670.24",Financials,BFSSDS9,US45866F1049,New York Stock Exchange Inc.
